# ----------------------------------------
# 1 Master View
# Location
# 20180201-20180228
# ----------------------------------------

City,Date Range,Segment,Users,New Users,Sessions,Bounce Rate,Pages / Session,Avg. Session Duration,Transactions,Revenue,Ecommerce Conversion Rate,Goal Conversion Rate
Mountain View,"Feb 1, 2018 - Feb 28, 2018",All Users,"2,563","1,702","3,689",19.84%,6.03,00:03:03,235,"$51,205.49",6.37%,40.61%
Mountain View,"Feb 1, 2018 - Feb 28, 2018",Direct Traffic,377,289,473,32.56%,4.39,00:02:03,18,"$3,397.91",3.81%,20.72%
Mountain View,"Feb 1, 2018 - Feb 28, 2018",Made a Purchase,303,146,626,10.86%,9.61,00:06:16,235,"$51,205.49",37.54%,122.84%
Mountain View,"Feb 1, 2018 - Feb 28, 2018",Mobile and Tablet Traffic,170,146,195,34.36%,4.04,00:01:57,1,$21.99,0.51%,9.23%
New York,"Feb 1, 2018 - Feb 28, 2018",All Users,"1,623","1,320","2,266",30.89%,5.58,00:02:59,157,"$25,497.16",6.93%,38.66%
New York,"Feb 1, 2018 - Feb 28, 2018",Direct Traffic,307,266,395,49.11%,3.81,00:02:09,9,$747.91,2.28%,21.01%
New York,"Feb 1, 2018 - Feb 28, 2018",Made a Purchase,144,87,348,10.92%,12.05,00:07:13,157,"$25,497.16",45.11%,146.84%
New York,"Feb 1, 2018 - Feb 28, 2018",Mobile and Tablet Traffic,338,299,432,50.23%,3.25,00:01:22,1,$163.48,0.23%,9.49%
San Francisco,"Feb 1, 2018 - Feb 28, 2018",All Users,"1,315",987,"1,813",28.96%,5.54,00:03:02,142,"$30,789.84",7.83%,36.79%
San Francisco,"Feb 1, 2018 - Feb 28, 2018",Direct Traffic,259,221,324,47.22%,3.48,00:02:03,12,"$2,651.58",3.70%,15.12%
San Francisco,"Feb 1, 2018 - Feb 28, 2018",Made a Purchase,166,91,342,10.53%,10.89,00:07:07,142,"$30,789.84",41.52%,131.87%
San Francisco,"Feb 1, 2018 - Feb 28, 2018",Mobile and Tablet Traffic,448,382,524,47.90%,3.26,00:01:46,2,$95.97,0.38%,8.21%
