# ----------------------------------------
# 1 Master View
# Location
# 20180401-20180430
# ----------------------------------------

City,Date Range,Segment,Users,New Users,Sessions,Bounce Rate,Pages / Session,Avg. Session Duration,Transactions,Revenue,Ecommerce Conversion Rate,Goal Conversion Rate
Mountain View,"Apr 1, 2018 - Apr 30, 2018",All Users,"3,516","2,185","5,257",21.95%,5.71,00:02:52,338,"$89,378.06",6.43%,33.44%
Mountain View,"Apr 1, 2018 - Apr 30, 2018",Direct Traffic,772,568,994,31.09%,4.82,00:02:23,70,"$17,563.72",7.04%,28.87%
Mountain View,"Apr 1, 2018 - Apr 30, 2018",Made a Purchase,422,155,"1,032",8.43%,8.64,00:05:42,338,"$89,378.06",32.75%,88.76%
Mountain View,"Apr 1, 2018 - Apr 30, 2018",Mobile and Tablet Traffic,253,186,315,42.86%,3.45,00:01:34,2,$145.95,0.63%,8.57%
New York,"Apr 1, 2018 - Apr 30, 2018",All Users,"1,978","1,585","2,859",31.93%,5.71,00:03:14,176,"$35,115.44",6.16%,34.70%
New York,"Apr 1, 2018 - Apr 30, 2018",Direct Traffic,497,397,642,44.08%,4.54,00:02:35,33,"$6,287.23",5.14%,24.77%
New York,"Apr 1, 2018 - Apr 30, 2018",Made a Purchase,177,103,415,11.08%,11.39,00:07:15,176,"$35,115.44",42.41%,133.49%
New York,"Apr 1, 2018 - Apr 30, 2018",Mobile and Tablet Traffic,433,386,545,52.11%,3.44,00:01:45,2,$29.98,0.37%,8.99%
San Francisco,"Apr 1, 2018 - Apr 30, 2018",All Users,"1,703","1,289","2,376",27.90%,5.62,00:03:16,211,"$57,198.40",8.88%,38.34%
San Francisco,"Apr 1, 2018 - Apr 30, 2018",Direct Traffic,519,434,652,36.20%,4.70,00:03:05,59,"$19,277.85",9.05%,33.28%
San Francisco,"Apr 1, 2018 - Apr 30, 2018",Made a Purchase,230,117,502,9.76%,9.84,00:06:55,211,"$57,198.40",42.03%,117.53%
San Francisco,"Apr 1, 2018 - Apr 30, 2018",Mobile and Tablet Traffic,510,435,629,43.72%,3.71,00:02:01,3,$319.99,0.48%,11.13%
Sunnyvale,"Apr 1, 2018 - Apr 30, 2018",All Users,"1,675","1,068","2,484",21.22%,6.08,00:03:14,178,"$42,456.78",7.17%,37.92%
Sunnyvale,"Apr 1, 2018 - Apr 30, 2018",Direct Traffic,365,277,500,28.20%,5.02,00:03:06,28,"$6,110.90",5.60%,28.40%
Sunnyvale,"Apr 1, 2018 - Apr 30, 2018",Made a Purchase,215,83,508,9.06%,9.41,00:06:27,178,"$42,456.78",35.04%,100.39%
Sunnyvale,"Apr 1, 2018 - Apr 30, 2018",Mobile and Tablet Traffic,148,118,180,43.33%,4.54,00:02:18,1,$85.36,0.56%,15.56%
San Jose,"Apr 1, 2018 - Apr 30, 2018",All Users,"1,010",714,"1,466",23.60%,6.37,00:03:49,118,"$34,931.45",8.05%,40.18%
San Jose,"Apr 1, 2018 - Apr 30, 2018",Direct Traffic,250,199,311,32.48%,4.81,00:02:50,19,"$5,261.58",6.11%,29.26%
San Jose,"Apr 1, 2018 - Apr 30, 2018",Made a Purchase,114,42,297,7.74%,10.34,00:07:36,118,"$34,931.45",39.73%,114.48%
San Jose,"Apr 1, 2018 - Apr 30, 2018",Mobile and Tablet Traffic,310,268,388,39.43%,4.10,00:02:17,1,$21.99,0.26%,12.11%
(not set),"Apr 1, 2018 - Apr 30, 2018",All Users,884,846,936,70.62%,2.41,00:01:07,5,$644.58,0.53%,6.09%
(not set),"Apr 1, 2018 - Apr 30, 2018",Direct Traffic,543,538,556,88.13%,1.64,00:00:31,1,$105.00,0.18%,2.70%
(not set),"Apr 1, 2018 - Apr 30, 2018",Made a Purchase,8,3,11,0.00%,10.82,00:08:44,5,$644.58,45.45%,136.36%
(not set),"Apr 1, 2018 - Apr 30, 2018",Mobile and Tablet Traffic,441,424,464,78.23%,2.34,00:01:07,0,$0.00,0.00%,5.17%
Los Angeles,"Apr 1, 2018 - Apr 30, 2018",All Users,702,574,946,36.47%,5.33,00:02:59,49,"$16,212.74",5.18%,30.44%
Los Angeles,"Apr 1, 2018 - Apr 30, 2018",Direct Traffic,158,130,196,44.39%,4.04,00:01:56,10,"$2,583.46",5.10%,20.92%
Los Angeles,"Apr 1, 2018 - Apr 30, 2018",Made a Purchase,56,29,121,7.44%,10.75,00:08:05,49,"$16,212.74",40.50%,128.10%
Los Angeles,"Apr 1, 2018 - Apr 30, 2018",Mobile and Tablet Traffic,276,245,330,50.61%,4.16,00:02:11,1,$30.96,0.30%,11.82%
Chicago,"Apr 1, 2018 - Apr 30, 2018",All Users,634,507,933,33.01%,5.42,00:03:43,56,"$11,321.12",6.00%,32.48%
Chicago,"Apr 1, 2018 - Apr 30, 2018",Direct Traffic,155,130,208,37.50%,4.54,00:03:02,11,"$1,445.05",5.29%,26.92%
Chicago,"Apr 1, 2018 - Apr 30, 2018",Made a Purchase,58,33,119,9.24%,11.20,00:08:01,56,"$11,321.12",47.06%,136.97%
Chicago,"Apr 1, 2018 - Apr 30, 2018",Mobile and Tablet Traffic,211,179,244,49.18%,3.48,00:02:02,0,$0.00,0.00%,8.20%
Seattle,"Apr 1, 2018 - Apr 30, 2018",All Users,503,379,794,20.91%,5.89,00:03:08,55,"$12,825.56",6.93%,37.53%
Seattle,"Apr 1, 2018 - Apr 30, 2018",Direct Traffic,116,98,161,25.47%,5.32,00:03:02,11,"$2,403.19",6.83%,33.54%
Seattle,"Apr 1, 2018 - Apr 30, 2018",Made a Purchase,64,38,202,8.42%,8.03,00:04:50,55,"$12,825.56",27.23%,82.18%
Seattle,"Apr 1, 2018 - Apr 30, 2018",Mobile and Tablet Traffic,90,76,110,35.45%,4.47,00:02:41,0,$0.00,0.00%,13.64%
Palo Alto,"Apr 1, 2018 - Apr 30, 2018",All Users,414,198,746,15.82%,6.54,00:03:58,107,"$35,786.71",14.34%,46.51%
Palo Alto,"Apr 1, 2018 - Apr 30, 2018",Direct Traffic,120,71,192,21.35%,5.29,00:03:21,26,"$9,011.59",13.54%,33.85%
Palo Alto,"Apr 1, 2018 - Apr 30, 2018",Made a Purchase,113,35,293,5.12%,8.66,00:06:32,107,"$35,786.71",36.52%,94.88%
Palo Alto,"Apr 1, 2018 - Apr 30, 2018",Mobile and Tablet Traffic,28,23,30,56.67%,3.90,00:01:40,0,$0.00,0.00%,10.00%
Austin,"Apr 1, 2018 - Apr 30, 2018",All Users,368,267,567,25.57%,5.95,00:03:26,52,"$10,866.51",9.17%,41.98%
Austin,"Apr 1, 2018 - Apr 30, 2018",Direct Traffic,59,50,74,27.03%,5.32,00:02:15,8,"$1,391.74",10.81%,40.54%
Austin,"Apr 1, 2018 - Apr 30, 2018",Made a Purchase,52,28,144,10.42%,9.85,00:06:50,52,"$10,866.51",36.11%,114.58%
Austin,"Apr 1, 2018 - Apr 30, 2018",Mobile and Tablet Traffic,48,40,66,42.42%,4.32,00:02:28,2,$65.47,3.03%,22.73%
Santa Clara,"Apr 1, 2018 - Apr 30, 2018",All Users,329,218,501,21.56%,6.10,00:03:30,34,"$8,370.45",6.79%,38.72%
Santa Clara,"Apr 1, 2018 - Apr 30, 2018",Direct Traffic,70,55,84,36.90%,5.04,00:02:58,5,"$1,488.00",5.95%,30.95%
Santa Clara,"Apr 1, 2018 - Apr 30, 2018",Made a Purchase,37,12,111,4.50%,8.68,00:05:35,34,"$8,370.45",30.63%,88.29%
Santa Clara,"Apr 1, 2018 - Apr 30, 2018",Mobile and Tablet Traffic,67,59,82,37.80%,3.66,00:01:57,0,$0.00,0.00%,8.54%
Washington,"Apr 1, 2018 - Apr 30, 2018",All Users,259,218,391,38.87%,4.55,00:03:33,10,"$2,953.83",2.56%,23.53%
Washington,"Apr 1, 2018 - Apr 30, 2018",Direct Traffic,63,52,105,45.71%,4.69,00:05:03,3,$724.80,2.86%,35.24%
Washington,"Apr 1, 2018 - Apr 30, 2018",Made a Purchase,16,7,34,23.53%,8.50,00:06:02,10,"$2,953.83",29.41%,97.06%
Washington,"Apr 1, 2018 - Apr 30, 2018",Mobile and Tablet Traffic,102,88,143,58.04%,3.27,00:01:29,0,$0.00,0.00%,7.69%
Kirkland,"Apr 1, 2018 - Apr 30, 2018",All Users,241,151,412,14.56%,7.00,00:03:58,49,"$14,329.84",11.89%,45.15%
Kirkland,"Apr 1, 2018 - Apr 30, 2018",Direct Traffic,63,48,97,17.53%,7.10,00:03:14,11,"$4,227.80",11.34%,39.18%
Kirkland,"Apr 1, 2018 - Apr 30, 2018",Made a Purchase,54,22,148,5.41%,8.57,00:06:06,49,"$14,329.84",33.11%,88.51%
Kirkland,"Apr 1, 2018 - Apr 30, 2018",Mobile and Tablet Traffic,9,8,10,40.00%,3.90,00:01:59,0,$0.00,0.00%,0.00%
Dallas,"Apr 1, 2018 - Apr 30, 2018",All Users,239,180,292,47.26%,3.39,00:02:27,5,$220.12,1.71%,12.67%
Dallas,"Apr 1, 2018 - Apr 30, 2018",Direct Traffic,51,34,57,63.16%,2.07,00:02:00,0,$0.00,0.00%,1.75%
Dallas,"Apr 1, 2018 - Apr 30, 2018",Made a Purchase,9,3,11,9.09%,13.91,00:08:32,5,$220.12,45.45%,172.73%
Dallas,"Apr 1, 2018 - Apr 30, 2018",Mobile and Tablet Traffic,142,125,159,57.23%,3.10,00:01:58,2,$95.97,1.26%,8.81%
Redmond,"Apr 1, 2018 - Apr 30, 2018",All Users,231,222,263,42.59%,3.52,00:02:29,11,"$4,332.00",4.18%,16.35%
Redmond,"Apr 1, 2018 - Apr 30, 2018",Direct Traffic,36,34,49,22.45%,3.98,00:02:51,1,"$1,053.00",2.04%,14.29%
