# ----------------------------------------
# 1 Master View
# Location
# 20180301-20180331
# ----------------------------------------

City,Date Range,Segment,Users,New Users,Sessions,Bounce Rate,Pages / Session,Avg. Session Duration,Transactions,Revenue,Ecommerce Conversion Rate,Goal Conversion Rate
Mountain View,"Mar 1, 2018 - Mar 31, 2018",All Users,"4,943","3,601","7,352",28.58%,5.19,00:02:38,424,"$90,564.71",5.77%,36.55%
Mountain View,"Mar 1, 2018 - Mar 31, 2018",Direct Traffic,"1,495","1,331","1,863",39.72%,4.48,00:02:38,137,"$19,710.90",7.35%,38.65%
Mountain View,"Mar 1, 2018 - Mar 31, 2018",Made a Purchase,516,261,"1,245",12.05%,8.70,00:06:04,424,"$90,564.71",34.06%,112.29%
Mountain View,"Mar 1, 2018 - Mar 31, 2018",Mobile and Tablet Traffic,354,300,421,43.47%,3.50,00:01:30,1,$105.93,0.24%,7.36%
New York,"Mar 1, 2018 - Mar 31, 2018",All Users,"2,346","1,960","3,228",33.30%,5.67,00:03:09,273,"$37,129.08",8.46%,49.01%
New York,"Mar 1, 2018 - Mar 31, 2018",Direct Traffic,787,725,975,41.74%,5.09,00:03:14,105,"$6,755.94",10.77%,53.85%
New York,"Mar 1, 2018 - Mar 31, 2018",Made a Purchase,287,200,580,11.21%,11.17,00:07:00,273,"$37,129.08",47.07%,160.69%
New York,"Mar 1, 2018 - Mar 31, 2018",Mobile and Tablet Traffic,430,391,541,51.39%,3.67,00:01:44,5,$142.91,0.92%,13.68%
Sunnyvale,"Mar 1, 2018 - Mar 31, 2018",All Users,"2,300","1,636","3,311",26.97%,5.68,00:02:44,208,"$38,593.70",6.28%,41.68%
Sunnyvale,"Mar 1, 2018 - Mar 31, 2018",Direct Traffic,730,634,873,40.09%,4.55,00:02:08,59,"$7,865.94",6.76%,38.95%
Sunnyvale,"Mar 1, 2018 - Mar 31, 2018",Made a Purchase,276,136,576,12.33%,9.55,00:05:52,208,"$38,593.70",36.11%,121.70%
Sunnyvale,"Mar 1, 2018 - Mar 31, 2018",Mobile and Tablet Traffic,177,148,211,44.08%,3.59,00:01:36,1,$39.98,0.47%,7.58%
