# ----------------------------------------
# 1 Master View
# Location
# 20171201-20171231
# ----------------------------------------

City,Date Range,Segment,Users,New Users,Sessions,Bounce Rate,Pages / Session,Avg. Session Duration,Transactions,Revenue,Ecommerce Conversion Rate,Goal Conversion Rate
Mountain View,"Dec 1, 2017 - Dec 31, 2017",All Users,"3,094","1,993","4,605",19.89%,6.24,00:03:24,349,"$72,595.52",7.58%,45.88%
Mountain View,"Dec 1, 2017 - Dec 31, 2017",Direct Traffic,398,343,487,34.70%,4.61,00:02:11,14,"$2,596.50",2.87%,23.82%
Mountain View,"Dec 1, 2017 - Dec 31, 2017",Made a Purchase,450,190,"1,009",11.20%,9.37,00:06:38,349,"$72,595.52",34.59%,119.92%
Mountain View,"Dec 1, 2017 - Dec 31, 2017",Mobile and Tablet Traffic,202,165,235,35.74%,3.95,00:01:55,2,$14.98,0.85%,8.51%
New York,"Dec 1, 2017 - Dec 31, 2017",All Users,"2,105","1,729","2,963",33.55%,5.84,00:03:14,218,"$37,017.53",7.36%,42.73%
New York,"Dec 1, 2017 - Dec 31, 2017",Direct Traffic,430,398,561,59.18%,3.22,00:01:48,10,"$1,556.98",1.78%,15.15%
New York,"Dec 1, 2017 - Dec 31, 2017",Made a Purchase,225,140,492,8.33%,11.79,00:07:37,218,"$37,017.53",44.31%,148.78%
New York,"Dec 1, 2017 - Dec 31, 2017",Mobile and Tablet Traffic,693,652,893,61.03%,2.81,00:01:18,4,$258.39,0.45%,6.49%
San Francisco,"Dec 1, 2017 - Dec 31, 2017",All Users,"1,736","1,270","2,419",26.99%,5.93,00:03:30,211,"$39,269.18",8.72%,46.47%
San Francisco,"Dec 1, 2017 - Dec 31, 2017",Direct Traffic,354,306,417,48.44%,3.83,00:01:54,17,"$2,179.42",4.08%,22.06%
San Francisco,"Dec 1, 2017 - Dec 31, 2017",Made a Purchase,255,131,513,12.09%,10.44,00:07:22,211,"$39,269.18",41.13%,143.27%
San Francisco,"Dec 1, 2017 - Dec 31, 2017",Mobile and Tablet Traffic,599,513,743,45.22%,3.60,00:02:00,2,$143.98,0.27%,9.83%
Sunnyvale,"Dec 1, 2017 - Dec 31, 2017",All Users,"1,647","1,000","2,515",21.71%,6.45,00:03:46,202,"$39,492.06",8.03%,50.02%
Sunnyvale,"Dec 1, 2017 - Dec 31, 2017",Direct Traffic,214,176,246,39.43%,4.26,00:02:31,10,"$1,383.72",4.07%,27.24%
Sunnyvale,"Dec 1, 2017 - Dec 31, 2017",Made a Purchase,254,114,612,13.07%,9.51,00:06:32,202,"$39,492.06",33.01%,116.50%
Sunnyvale,"Dec 1, 2017 - Dec 31, 2017",Mobile and Tablet Traffic,129,102,151,41.72%,3.53,00:02:16,0,$0.00,0.00%,5.96%
(not set),"Dec 1, 2017 - Dec 31, 2017",All Users,"1,206","1,166","1,282",72.62%,2.21,00:00:56,9,"$1,374.42",0.70%,7.49%
