# ----------------------------------------
# 1 Master View
# Location
# 20170801-20170831
# ----------------------------------------

City,Date Range,Segment,Users,New Users,Sessions,Bounce Rate,Pages / Session,Avg. Session Duration,Transactions,Revenue,Ecommerce Conversion Rate,Goal Conversion Rate
Mountain View,"Aug 1, 2017 - Aug 31, 2017",All Users,"3,286","2,339","4,995",24.06%,6.87,00:04:18,385,"$56,188.65",7.71%,49.25%
Mountain View,"Aug 1, 2017 - Aug 31, 2017",Direct Traffic,486,431,629,38.16%,4.85,00:02:59,22,"$3,749.48",3.50%,24.64%
Mountain View,"Aug 1, 2017 - Aug 31, 2017",Made a Purchase,475,254,"1,037",12.44%,12.38,00:08:49,385,"$56,188.65",37.13%,146.67%
Mountain View,"Aug 1, 2017 - Aug 31, 2017",Mobile and Tablet Traffic,303,253,368,37.77%,3.93,00:02:43,1,$26.58,0.27%,10.05%
New York,"Aug 1, 2017 - Aug 31, 2017",All Users,"2,152","1,853","2,911",33.73%,6.50,00:04:02,231,"$36,660.05",7.94%,43.49%
New York,"Aug 1, 2017 - Aug 31, 2017",Direct Traffic,438,413,513,47.76%,4.53,00:02:35,17,"$2,495.98",3.31%,22.61%
New York,"Aug 1, 2017 - Aug 31, 2017",Made a Purchase,227,155,507,10.26%,15.11,00:10:57,231,"$36,660.05",45.56%,173.57%
New York,"Aug 1, 2017 - Aug 31, 2017",Mobile and Tablet Traffic,601,561,729,53.50%,3.37,00:01:58,6,$239.07,0.82%,10.29%
San Francisco,"Aug 1, 2017 - Aug 31, 2017",All Users,"1,755","1,427","2,371",31.72%,6.38,00:04:15,187,"$36,978.68",7.89%,43.19%
San Francisco,"Aug 1, 2017 - Aug 31, 2017",Direct Traffic,413,375,494,45.55%,3.96,00:02:37,20,"$2,186.70",4.05%,21.46%
San Francisco,"Aug 1, 2017 - Aug 31, 2017",Made a Purchase,201,119,384,8.85%,14.93,00:10:09,187,"$36,978.68",48.70%,182.81%
San Francisco,"Aug 1, 2017 - Aug 31, 2017",Mobile and Tablet Traffic,755,647,944,45.76%,3.62,00:02:24,5,$279.43,0.53%,11.97%
