# ----------------------------------------
# 1 Master View
# Location
# 20170901-20170930
# ----------------------------------------

City,Date Range,Segment,Users,New Users,Sessions,Bounce Rate,Pages / Session,Avg. Session Duration,Transactions,Revenue,Ecommerce Conversion Rate,Goal Conversion Rate
Mountain View,"Sep 1, 2017 - Sep 30, 2017",All Users,"2,950","2,084","4,333",22.18%,6.76,00:03:56,272,"$47,297.30",6.28%,54.86%
Mountain View,"Sep 1, 2017 - Sep 30, 2017",Direct Traffic,428,348,516,38.57%,4.72,00:02:48,18,"$3,119.96",3.49%,34.30%
Mountain View,"Sep 1, 2017 - Sep 30, 2017",Made a Purchase,361,197,790,10.00%,11.63,00:07:47,272,"$47,297.30",34.43%,159.87%
Mountain View,"Sep 1, 2017 - Sep 30, 2017",Mobile and Tablet Traffic,252,203,293,40.27%,4.26,00:03:05,0,$0.00,0.00%,9.90%
New York,"Sep 1, 2017 - Sep 30, 2017",All Users,"2,151","1,849","2,966",42.31%,5.79,00:03:32,170,"$28,489.29",5.73%,42.52%
New York,"Sep 1, 2017 - Sep 30, 2017",Direct Traffic,292,264,358,44.13%,4.99,00:02:44,18,"$4,949.00",5.03%,33.24%
New York,"Sep 1, 2017 - Sep 30, 2017",Made a Purchase,172,105,383,11.75%,14.73,00:10:07,170,"$28,489.29",44.39%,189.82%
New York,"Sep 1, 2017 - Sep 30, 2017",Mobile and Tablet Traffic,822,764,"1,082",71.07%,2.56,00:01:18,10,$485.31,0.92%,8.13%
San Francisco,"Sep 1, 2017 - Sep 30, 2017",All Users,"1,544","1,219","2,057",30.14%,6.36,00:04:07,152,"$28,175.70",7.39%,51.19%
San Francisco,"Sep 1, 2017 - Sep 30, 2017",Direct Traffic,325,283,413,41.65%,5.24,00:03:39,16,"$3,727.58",3.87%,31.72%
San Francisco,"Sep 1, 2017 - Sep 30, 2017",Made a Purchase,169,99,315,8.57%,14.06,00:08:45,152,"$28,175.70",48.25%,205.40%
San Francisco,"Sep 1, 2017 - Sep 30, 2017",Mobile and Tablet Traffic,604,524,740,45.14%,4.28,00:02:44,5,$188.42,0.68%,16.22%
Sunnyvale,"Sep 1, 2017 - Sep 30, 2017",All Users,"1,430","1,010","2,079",20.35%,6.95,00:04:02,161,"$27,873.42",7.74%,57.29%
Sunnyvale,"Sep 1, 2017 - Sep 30, 2017",Direct Traffic,205,175,254,38.98%,4.61,00:03:01,13,"$3,610.64",5.12%,31.89%
