# ----------------------------------------
# 1 Master View
# Location
# 20170901-20170930
# ----------------------------------------

City,Date Range,Segment,Users,New Users,Sessions,Bounce Rate,Pages / Session,Avg. Session Duration,Transactions,Revenue,Ecommerce Conversion Rate,Goal Conversion Rate
Sunnyvale,"Sep 1, 2017 - Sep 30, 2017",Made a Purchase,197,116,407,10.81%,11.83,00:07:56,161,"$27,873.42",39.56%,169.53%
Sunnyvale,"Sep 1, 2017 - Sep 30, 2017",Mobile and Tablet Traffic,126,99,148,41.22%,4.33,00:02:04,0,$0.00,0.00%,9.46%
(not set),"Sep 1, 2017 - Sep 30, 2017",All Users,"1,313","1,257","1,448",80.39%,2.13,00:00:52,13,"$1,615.98",0.90%,6.49%
(not set),"Sep 1, 2017 - Sep 30, 2017",Direct Traffic,783,775,797,92.35%,1.46,00:00:19,2,$652.45,0.25%,2.38%
(not set),"Sep 1, 2017 - Sep 30, 2017",Made a Purchase,20,8,40,10.00%,16.30,00:09:46,13,"$1,615.98",32.50%,152.50%
(not set),"Sep 1, 2017 - Sep 30, 2017",Mobile and Tablet Traffic,723,694,817,87.64%,1.49,00:00:35,1,$14.00,0.12%,1.71%
San Jose,"Sep 1, 2017 - Sep 30, 2017",All Users,955,724,"1,274",31.08%,6.73,00:04:04,100,"$17,848.44",7.85%,55.81%
San Jose,"Sep 1, 2017 - Sep 30, 2017",Direct Traffic,153,131,186,34.95%,5.39,00:03:29,6,$678.07,3.23%,31.72%
San Jose,"Sep 1, 2017 - Sep 30, 2017",Made a Purchase,108,53,192,8.33%,14.18,00:09:32,100,"$17,848.44",52.08%,220.83%
San Jose,"Sep 1, 2017 - Sep 30, 2017",Mobile and Tablet Traffic,348,302,452,53.76%,3.96,00:02:34,6,$316.90,1.33%,15.93%
Los Angeles,"Sep 1, 2017 - Sep 30, 2017",All Users,924,808,"1,214",53.13%,4.23,00:02:18,46,"$8,119.80",3.79%,27.68%
Los Angeles,"Sep 1, 2017 - Sep 30, 2017",Direct Traffic,126,104,147,42.86%,4.78,00:02:59,3,$567.84,2.04%,27.21%
Los Angeles,"Sep 1, 2017 - Sep 30, 2017",Made a Purchase,51,27,96,7.29%,15.96,00:09:29,46,"$8,119.80",47.92%,206.25%
Los Angeles,"Sep 1, 2017 - Sep 30, 2017",Mobile and Tablet Traffic,534,486,694,71.33%,2.29,00:01:06,3,$133.98,0.43%,5.48%
Chicago,"Sep 1, 2017 - Sep 30, 2017",All Users,856,761,"1,141",52.85%,4.40,00:02:31,46,"$7,314.78",4.03%,26.91%
Chicago,"Sep 1, 2017 - Sep 30, 2017",Direct Traffic,95,85,116,43.97%,5.64,00:02:59,7,"$1,959.10",6.03%,39.66%
Chicago,"Sep 1, 2017 - Sep 30, 2017",Made a Purchase,48,33,96,10.42%,15.71,00:08:58,46,"$7,314.78",47.92%,194.79%
Chicago,"Sep 1, 2017 - Sep 30, 2017",Mobile and Tablet Traffic,505,464,655,74.81%,2.36,00:01:10,2,$99.97,0.31%,4.89%
Houston,"Sep 1, 2017 - Sep 30, 2017",All Users,448,415,579,72.37%,2.28,00:01:21,5,$989.33,0.86%,6.74%
Houston,"Sep 1, 2017 - Sep 30, 2017",Direct Traffic,31,27,31,58.06%,2.42,00:02:04,0,$0.00,0.00%,3.23%
Houston,"Sep 1, 2017 - Sep 30, 2017",Made a Purchase,5,4,6,0.00%,18.33,00:13:42,5,$989.33,83.33%,350.00%
Houston,"Sep 1, 2017 - Sep 30, 2017",Mobile and Tablet Traffic,370,341,497,77.87%,1.80,00:01:03,1,$50.97,0.20%,2.62%
Seattle,"Sep 1, 2017 - Sep 30, 2017",All Users,441,358,657,41.10%,5.40,00:02:51,42,"$7,079.91",6.39%,44.90%
Seattle,"Sep 1, 2017 - Sep 30, 2017",Direct Traffic,51,44,67,40.30%,4.51,00:02:32,7,$826.58,10.45%,46.27%
Seattle,"Sep 1, 2017 - Sep 30, 2017",Made a Purchase,46,24,109,14.68%,11.18,00:07:43,42,"$7,079.91",38.53%,174.31%
Seattle,"Sep 1, 2017 - Sep 30, 2017",Mobile and Tablet Traffic,169,155,250,71.60%,2.55,00:01:16,1,$99.99,0.40%,6.40%
Dallas,"Sep 1, 2017 - Sep 30, 2017",All Users,436,410,555,69.91%,2.73,00:01:40,6,$170.80,1.08%,8.29%
Dallas,"Sep 1, 2017 - Sep 30, 2017",Direct Traffic,49,46,53,49.06%,4.60,00:03:03,2,$44.09,3.77%,24.53%
Dallas,"Sep 1, 2017 - Sep 30, 2017",Made a Purchase,9,6,11,9.09%,19.45,00:13:27,6,$170.80,54.55%,209.09%
Dallas,"Sep 1, 2017 - Sep 30, 2017",Mobile and Tablet Traffic,370,346,481,76.72%,1.97,00:01:06,3,$69.08,0.62%,4.37%
Washington,"Sep 1, 2017 - Sep 30, 2017",All Users,418,380,593,63.58%,2.71,00:01:51,6,"$1,232.25",1.01%,9.78%
Washington,"Sep 1, 2017 - Sep 30, 2017",Direct Traffic,48,42,62,56.45%,2.82,00:01:58,0,$0.00,0.00%,9.68%
Washington,"Sep 1, 2017 - Sep 30, 2017",Made a Purchase,9,6,16,18.75%,14.19,00:07:49,6,"$1,232.25",37.50%,168.75%
Washington,"Sep 1, 2017 - Sep 30, 2017",Mobile and Tablet Traffic,291,274,413,76.03%,1.99,00:00:59,1,$52.50,0.24%,4.12%
Palo Alto,"Sep 1, 2017 - Sep 30, 2017",All Users,348,239,497,17.51%,7.56,00:04:24,61,"$14,306.15",12.27%,73.64%
Palo Alto,"Sep 1, 2017 - Sep 30, 2017",Direct Traffic,47,38,54,25.93%,6.69,00:02:32,5,"$1,341.00",9.26%,61.11%
Palo Alto,"Sep 1, 2017 - Sep 30, 2017",Made a Purchase,73,40,127,7.87%,11.87,00:07:48,61,"$14,306.15",48.03%,197.64%
Palo Alto,"Sep 1, 2017 - Sep 30, 2017",Mobile and Tablet Traffic,32,27,37,48.65%,5.11,00:02:01,0,$0.00,0.00%,10.81%
Santa Clara,"Sep 1, 2017 - Sep 30, 2017",All Users,336,250,426,22.30%,7.56,00:04:21,25,"$4,267.88",5.87%,55.87%
Santa Clara,"Sep 1, 2017 - Sep 30, 2017",Direct Traffic,60,52,65,44.62%,4.83,00:02:30,2,$498.00,3.08%,23.08%
Santa Clara,"Sep 1, 2017 - Sep 30, 2017",Made a Purchase,38,18,71,14.08%,11.97,00:07:59,25,"$4,267.88",35.21%,160.56%
Santa Clara,"Sep 1, 2017 - Sep 30, 2017",Mobile and Tablet Traffic,72,60,84,36.90%,5.32,00:03:03,0,$0.00,0.00%,16.67%
Atlanta,"Sep 1, 2017 - Sep 30, 2017",All Users,324,284,420,61.43%,3.25,00:02:17,12,"$2,083.17",2.86%,17.62%
Atlanta,"Sep 1, 2017 - Sep 30, 2017",Direct Traffic,29,25,34,44.12%,3.21,00:01:48,1,$15.19,2.94%,17.65%
Atlanta,"Sep 1, 2017 - Sep 30, 2017",Made a Purchase,14,7,28,14.29%,10.54,00:10:18,12,"$2,083.17",42.86%,175.00%
Atlanta,"Sep 1, 2017 - Sep 30, 2017",Mobile and Tablet Traffic,239,223,307,74.59%,2.17,00:01:26,1,$18.97,0.33%,4.89%
Austin,"Sep 1, 2017 - Sep 30, 2017",All Users,320,265,438,38.58%,5.74,00:03:34,33,"$5,118.02",7.53%,47.95%
Austin,"Sep 1, 2017 - Sep 30, 2017",Direct Traffic,48,41,58,53.45%,5.31,00:05:19,5,"$1,091.75",8.62%,55.17%
Austin,"Sep 1, 2017 - Sep 30, 2017",Made a Purchase,32,20,64,4.69%,14.09,00:07:28,33,"$5,118.02",51.56%,207.81%
Austin,"Sep 1, 2017 - Sep 30, 2017",Mobile and Tablet Traffic,113,99,135,72.59%,2.90,00:01:35,2,$42.45,1.48%,11.11%
Philadelphia,"Sep 1, 2017 - Sep 30, 2017",All Users,251,230,320,69.69%,2.82,00:01:30,4,$603.98,1.25%,11.56%
Philadelphia,"Sep 1, 2017 - Sep 30, 2017",Direct Traffic,21,20,24,45.83%,3.92,00:03:33,0,$0.00,0.00%,20.83%
Philadelphia,"Sep 1, 2017 - Sep 30, 2017",Made a Purchase,4,3,6,16.67%,21.33,00:11:30,4,$603.98,66.67%,200.00%
Philadelphia,"Sep 1, 2017 - Sep 30, 2017",Mobile and Tablet Traffic,190,177,250,78.40%,1.92,00:01:05,0,$0.00,0.00%,2.40%
Boston,"Sep 1, 2017 - Sep 30, 2017",All Users,248,222,319,61.13%,3.22,00:01:46,5,$648.87,1.57%,13.17%
Boston,"Sep 1, 2017 - Sep 30, 2017",Direct Traffic,27,23,41,60.98%,2.78,00:02:20,0,$0.00,0.00%,7.32%
Boston,"Sep 1, 2017 - Sep 30, 2017",Made a Purchase,6,2,11,0.00%,13.73,00:07:09,5,$648.87,45.45%,190.91%
Boston,"Sep 1, 2017 - Sep 30, 2017",Mobile and Tablet Traffic,167,154,220,76.36%,2.07,00:01:10,1,$8.99,0.45%,6.82%
Charlotte,"Sep 1, 2017 - Sep 30, 2017",All Users,247,216,310,72.58%,2.36,00:01:26,2,$354.76,0.65%,8.39%
Charlotte,"Sep 1, 2017 - Sep 30, 2017",Direct Traffic,20,14,22,27.27%,5.27,00:05:29,0,$0.00,0.00%,22.73%
Charlotte,"Sep 1, 2017 - Sep 30, 2017",Made a Purchase,6,2,13,7.69%,7.46,00:04:16,2,$354.76,15.38%,76.92%
Charlotte,"Sep 1, 2017 - Sep 30, 2017",Mobile and Tablet Traffic,198,179,252,83.33%,1.61,00:00:57,0,$0.00,0.00%,2.78%
Orlando,"Sep 1, 2017 - Sep 30, 2017",All Users,231,205,283,73.50%,2.24,00:01:43,1,$36.09,0.35%,5.65%
Orlando,"Sep 1, 2017 - Sep 30, 2017",Direct Traffic,17,14,21,33.33%,4.14,00:04:11,0,$0.00,0.00%,9.52%
Orlando,"Sep 1, 2017 - Sep 30, 2017",Made a Purchase,1,0,1,0.00%,10.00,00:11:08,1,$36.09,100.00%,200.00%
Orlando,"Sep 1, 2017 - Sep 30, 2017",Mobile and Tablet Traffic,204,180,255,74.51%,2.07,00:01:48,1,$36.09,0.39%,4.31%
Phoenix,"Sep 1, 2017 - Sep 30, 2017",All Users,223,211,284,69.72%,2.65,00:01:25,0,$0.00,0.00%,8.10%
Phoenix,"Sep 1, 2017 - Sep 30, 2017",Direct Traffic,17,14,18,44.44%,7.22,00:04:13,0,$0.00,0.00%,16.67%
Phoenix,"Sep 1, 2017 - Sep 30, 2017",Made a Purchase,0,0,0,0.00%,0.00,00:00:00,0,$0.00,0.00%,0.00%
Phoenix,"Sep 1, 2017 - Sep 30, 2017",Mobile and Tablet Traffic,170,160,227,75.77%,2.01,00:01:10,0,$0.00,0.00%,4.41%
Kirkland,"Sep 1, 2017 - Sep 30, 2017",All Users,222,141,355,17.46%,6.42,00:03:10,24,"$3,980.37",6.76%,49.58%
Kirkland,"Sep 1, 2017 - Sep 30, 2017",Direct Traffic,36,32,45,33.33%,3.60,00:01:45,1,$119.00,2.22%,15.56%
Kirkland,"Sep 1, 2017 - Sep 30, 2017",Made a Purchase,30,14,83,10.84%,10.27,00:05:15,24,"$3,980.37",28.92%,127.71%
Kirkland,"Sep 1, 2017 - Sep 30, 2017",Mobile and Tablet Traffic,11,10,17,47.06%,4.12,00:01:40,0,$0.00,0.00%,29.41%
San Diego,"Sep 1, 2017 - Sep 30, 2017",All Users,216,189,283,52.65%,5.16,00:03:02,12,$972.52,4.24%,26.15%
San Diego,"Sep 1, 2017 - Sep 30, 2017",Direct Traffic,27,20,44,52.27%,6.50,00:05:15,0,$0.00,0.00%,22.73%
San Diego,"Sep 1, 2017 - Sep 30, 2017",Made a Purchase,11,7,19,15.79%,24.79,00:11:22,12,$972.52,63.16%,221.05%
San Diego,"Sep 1, 2017 - Sep 30, 2017",Mobile and Tablet Traffic,123,116,157,68.79%,2.92,00:01:40,0,$0.00,0.00%,3.82%
San Antonio,"Sep 1, 2017 - Sep 30, 2017",All Users,201,187,266,70.68%,2.61,00:00:54,1,$37.93,0.38%,5.64%
San Antonio,"Sep 1, 2017 - Sep 30, 2017",Direct Traffic,11,9,14,42.86%,2.00,00:00:48,0,$0.00,0.00%,0.00%
San Antonio,"Sep 1, 2017 - Sep 30, 2017",Made a Purchase,1,1,1,0.00%,48.00,00:39:19,1,$37.93,100.00%,500.00%
San Antonio,"Sep 1, 2017 - Sep 30, 2017",Mobile and Tablet Traffic,157,146,217,78.80%,1.99,00:00:32,0,$0.00,0.00%,2.30%
Denver,"Sep 1, 2017 - Sep 30, 2017",All Users,191,172,236,61.44%,2.92,00:01:43,1,$17.18,0.42%,9.32%
Denver,"Sep 1, 2017 - Sep 30, 2017",Direct Traffic,20,18,28,53.57%,2.82,00:00:56,0,$0.00,0.00%,7.14%
Denver,"Sep 1, 2017 - Sep 30, 2017",Made a Purchase,4,1,4,25.00%,10.50,00:05:45,1,$17.18,25.00%,125.00%
Denver,"Sep 1, 2017 - Sep 30, 2017",Mobile and Tablet Traffic,132,121,168,72.02%,2.30,00:01:14,0,$0.00,0.00%,4.76%
Ann Arbor,"Sep 1, 2017 - Sep 30, 2017",All Users,190,143,283,31.80%,7.69,00:04:10,23,"$3,308.70",8.13%,56.89%
Ann Arbor,"Sep 1, 2017 - Sep 30, 2017",Direct Traffic,35,29,41,41.46%,7.34,00:03:49,4,$290.18,9.76%,65.85%
Ann Arbor,"Sep 1, 2017 - Sep 30, 2017",Made a Purchase,24,14,48,8.33%,19.79,00:13:43,23,"$3,308.70",47.92%,216.67%
Ann Arbor,"Sep 1, 2017 - Sep 30, 2017",Mobile and Tablet Traffic,50,42,55,58.18%,3.62,00:01:11,0,$0.00,0.00%,14.55%
Detroit,"Sep 1, 2017 - Sep 30, 2017",All Users,190,173,251,81.27%,2.06,00:00:53,4,$153.48,1.59%,5.98%
Detroit,"Sep 1, 2017 - Sep 30, 2017",Direct Traffic,10,7,11,72.73%,2.09,00:00:45,0,$0.00,0.00%,0.00%
Detroit,"Sep 1, 2017 - Sep 30, 2017",Made a Purchase,5,3,11,9.09%,12.73,00:08:03,4,$153.48,36.36%,127.27%
Detroit,"Sep 1, 2017 - Sep 30, 2017",Mobile and Tablet Traffic,171,157,227,85.02%,1.87,00:00:44,1,$6.99,0.44%,2.64%
San Bruno,"Sep 1, 2017 - Sep 30, 2017",All Users,185,139,244,17.21%,6.78,00:03:35,21,"$4,716.65",8.61%,58.61%
San Bruno,"Sep 1, 2017 - Sep 30, 2017",Direct Traffic,27,25,32,40.62%,3.44,00:01:31,1,$7.60,3.12%,21.88%
San Bruno,"Sep 1, 2017 - Sep 30, 2017",Made a Purchase,25,15,45,0.00%,14.62,00:09:30,21,"$4,716.65",46.67%,215.56%
San Bruno,"Sep 1, 2017 - Sep 30, 2017",Mobile and Tablet Traffic,9,6,10,70.00%,2.40,00:00:26,0,$0.00,0.00%,0.00%
Cambridge,"Sep 1, 2017 - Sep 30, 2017",All Users,177,118,255,20.78%,7.04,00:03:59,23,"$3,769.14",9.02%,55.69%
Cambridge,"Sep 1, 2017 - Sep 30, 2017",Direct Traffic,21,18,22,59.09%,3.55,00:02:45,0,$0.00,0.00%,13.64%
Cambridge,"Sep 1, 2017 - Sep 30, 2017",Made a Purchase,28,15,62,6.45%,10.60,00:06:17,23,"$3,769.14",37.10%,141.94%
Cambridge,"Sep 1, 2017 - Sep 30, 2017",Mobile and Tablet Traffic,13,10,13,76.92%,2.00,00:03:48,0,$0.00,0.00%,0.00%
Miami,"Sep 1, 2017 - Sep 30, 2017",All Users,163,146,214,75.23%,1.93,00:01:06,2,$168.99,0.93%,7.48%
Miami,"Sep 1, 2017 - Sep 30, 2017",Direct Traffic,14,12,15,66.67%,2.13,00:02:48,0,$0.00,0.00%,6.67%
Miami,"Sep 1, 2017 - Sep 30, 2017",Made a Purchase,2,0,10,20.00%,6.20,00:03:58,2,$168.99,20.00%,90.00%
Miami,"Sep 1, 2017 - Sep 30, 2017",Mobile and Tablet Traffic,142,129,185,81.62%,1.59,00:00:48,0,$0.00,0.00%,2.16%
Irvine,"Sep 1, 2017 - Sep 30, 2017",All Users,148,113,193,34.72%,6.26,00:03:35,16,"$3,936.82",8.29%,45.08%
Irvine,"Sep 1, 2017 - Sep 30, 2017",Direct Traffic,20,18,27,22.22%,7.56,00:04:36,3,$895.60,11.11%,51.85%
Irvine,"Sep 1, 2017 - Sep 30, 2017",Made a Purchase,20,10,36,8.33%,16.75,00:12:35,16,"$3,936.82",44.44%,186.11%
Irvine,"Sep 1, 2017 - Sep 30, 2017",Mobile and Tablet Traffic,45,40,58,68.97%,2.48,00:00:56,1,$448.00,1.72%,8.62%
Boulder,"Sep 1, 2017 - Sep 30, 2017",All Users,143,117,195,27.69%,5.28,00:03:32,14,"$1,998.52",7.18%,43.59%
Boulder,"Sep 1, 2017 - Sep 30, 2017",Direct Traffic,36,34,39,53.85%,3.18,00:02:01,1,$237.00,2.56%,17.95%
Boulder,"Sep 1, 2017 - Sep 30, 2017",Made a Purchase,17,11,39,12.82%,9.33,00:07:59,14,"$1,998.52",35.90%,143.59%
Boulder,"Sep 1, 2017 - Sep 30, 2017",Mobile and Tablet Traffic,11,9,12,50.00%,3.33,00:01:40,0,$0.00,0.00%,8.33%
Nashville,"Sep 1, 2017 - Sep 30, 2017",All Users,139,126,170,63.53%,3.75,00:02:37,2,$923.80,1.18%,17.65%
Nashville,"Sep 1, 2017 - Sep 30, 2017",Direct Traffic,14,13,23,52.17%,6.39,00:08:32,1,$685.80,4.35%,60.87%
Nashville,"Sep 1, 2017 - Sep 30, 2017",Made a Purchase,2,0,11,27.27%,12.45,00:16:42,2,$923.80,18.18%,136.36%
Nashville,"Sep 1, 2017 - Sep 30, 2017",Mobile and Tablet Traffic,112,105,128,75.00%,2.74,00:01:13,0,$0.00,0.00%,5.47%
Indianapolis,"Sep 1, 2017 - Sep 30, 2017",All Users,134,124,170,75.29%,2.49,00:01:17,1,$24.99,0.59%,10.59%
Indianapolis,"Sep 1, 2017 - Sep 30, 2017",Direct Traffic,13,11,15,33.33%,5.33,00:05:45,1,$24.99,6.67%,46.67%
Indianapolis,"Sep 1, 2017 - Sep 30, 2017",Made a Purchase,1,1,2,0.00%,16.00,00:14:06,1,$24.99,50.00%,300.00%
Indianapolis,"Sep 1, 2017 - Sep 30, 2017",Mobile and Tablet Traffic,102,93,133,85.71%,1.63,00:00:45,0,$0.00,0.00%,3.76%
Fremont,"Sep 1, 2017 - Sep 30, 2017",All Users,128,92,181,25.41%,7.56,00:04:27,17,"$2,519.37",9.39%,64.09%
Fremont,"Sep 1, 2017 - Sep 30, 2017",Direct Traffic,22,18,25,44.00%,6.00,00:03:21,2,$521.87,8.00%,60.00%
Fremont,"Sep 1, 2017 - Sep 30, 2017",Made a Purchase,19,10,47,12.77%,11.51,00:08:20,17,"$2,519.37",36.17%,146.81%
Fremont,"Sep 1, 2017 - Sep 30, 2017",Mobile and Tablet Traffic,31,24,45,35.56%,5.42,00:02:58,1,$85.97,2.22%,20.00%
Pittsburgh,"Sep 1, 2017 - Sep 30, 2017",All Users,122,96,167,31.74%,7.53,00:04:03,16,"$2,185.19",9.58%,62.87%
Pittsburgh,"Sep 1, 2017 - Sep 30, 2017",Direct Traffic,16,14,21,38.10%,5.62,00:03:12,0,$0.00,0.00%,38.10%
Pittsburgh,"Sep 1, 2017 - Sep 30, 2017",Made a Purchase,16,10,22,9.09%,21.45,00:11:40,16,"$2,185.19",72.73%,290.91%
Pittsburgh,"Sep 1, 2017 - Sep 30, 2017",Mobile and Tablet Traffic,34,30,43,60.47%,2.44,00:01:43,0,$0.00,0.00%,9.30%
Tampa,"Sep 1, 2017 - Sep 30, 2017",All Users,120,109,149,72.48%,2.42,00:01:11,2,$263.47,1.34%,7.38%
Tampa,"Sep 1, 2017 - Sep 30, 2017",Direct Traffic,8,7,8,75.00%,4.25,00:02:03,1,$253.49,12.50%,37.50%
Tampa,"Sep 1, 2017 - Sep 30, 2017",Made a Purchase,4,1,4,0.00%,12.50,00:05:23,2,$263.47,50.00%,175.00%
Tampa,"Sep 1, 2017 - Sep 30, 2017",Mobile and Tablet Traffic,101,93,126,78.57%,1.97,00:00:59,0,$0.00,0.00%,3.17%
Minneapolis,"Sep 1, 2017 - Sep 30, 2017",All Users,112,103,129,60.47%,2.93,00:01:20,3,$596.50,2.33%,13.18%
Minneapolis,"Sep 1, 2017 - Sep 30, 2017",Direct Traffic,10,6,11,18.18%,5.09,00:02:56,0,$0.00,0.00%,9.09%
Minneapolis,"Sep 1, 2017 - Sep 30, 2017",Made a Purchase,3,1,5,0.00%,12.40,00:07:42,3,$596.50,60.00%,220.00%
Minneapolis,"Sep 1, 2017 - Sep 30, 2017",Mobile and Tablet Traffic,83,79,97,73.20%,1.62,00:00:37,0,$0.00,0.00%,1.03%
Portland,"Sep 1, 2017 - Sep 30, 2017",All Users,111,90,137,52.55%,3.54,00:02:06,3,$286.99,2.19%,21.17%
Portland,"Sep 1, 2017 - Sep 30, 2017",Direct Traffic,15,13,17,41.18%,4.18,00:02:33,0,$0.00,0.00%,11.76%
Portland,"Sep 1, 2017 - Sep 30, 2017",Made a Purchase,3,2,5,0.00%,9.40,00:09:29,3,$286.99,60.00%,260.00%
Portland,"Sep 1, 2017 - Sep 30, 2017",Mobile and Tablet Traffic,62,54,76,67.11%,2.97,00:01:40,1,$9.99,1.32%,13.16%
Cupertino,"Sep 1, 2017 - Sep 30, 2017",All Users,110,82,144,23.61%,8.62,00:04:49,10,"$1,643.20",6.94%,61.81%
Cupertino,"Sep 1, 2017 - Sep 30, 2017",Direct Traffic,20,18,21,33.33%,4.86,00:01:41,1,$31.92,4.76%,28.57%
Cupertino,"Sep 1, 2017 - Sep 30, 2017",Made a Purchase,14,7,22,18.18%,18.36,00:11:42,10,"$1,643.20",45.45%,222.73%
Cupertino,"Sep 1, 2017 - Sep 30, 2017",Mobile and Tablet Traffic,23,17,28,42.86%,6.25,00:03:21,0,$0.00,0.00%,25.00%
Milpitas,"Sep 1, 2017 - Sep 30, 2017",All Users,110,78,159,22.64%,7.35,00:03:49,14,"$2,877.10",8.81%,62.26%
Milpitas,"Sep 1, 2017 - Sep 30, 2017",Direct Traffic,14,13,14,35.71%,5.64,00:03:24,1,$119.00,7.14%,28.57%
Milpitas,"Sep 1, 2017 - Sep 30, 2017",Made a Purchase,18,8,40,17.50%,10.58,00:07:02,14,"$2,877.10",35.00%,147.50%
Milpitas,"Sep 1, 2017 - Sep 30, 2017",Mobile and Tablet Traffic,25,21,30,36.67%,4.07,00:01:13,0,$0.00,0.00%,13.33%
Sacramento,"Sep 1, 2017 - Sep 30, 2017",All Users,105,93,128,61.72%,3.08,00:00:58,2,$207.10,1.56%,9.38%
Sacramento,"Sep 1, 2017 - Sep 30, 2017",Direct Traffic,9,5,9,55.56%,2.11,00:02:12,0,$0.00,0.00%,0.00%
Sacramento,"Sep 1, 2017 - Sep 30, 2017",Made a Purchase,3,2,4,0.00%,14.00,00:06:09,2,$207.10,50.00%,200.00%
Sacramento,"Sep 1, 2017 - Sep 30, 2017",Mobile and Tablet Traffic,76,67,98,73.47%,2.03,00:00:40,0,$0.00,0.00%,2.04%
Oakland,"Sep 1, 2017 - Sep 30, 2017",All Users,104,79,128,34.38%,5.43,00:03:09,7,$988.49,5.47%,39.84%
Oakland,"Sep 1, 2017 - Sep 30, 2017",Direct Traffic,14,11,16,56.25%,4.19,00:01:26,0,$0.00,0.00%,37.50%
Oakland,"Sep 1, 2017 - Sep 30, 2017",Made a Purchase,9,2,12,8.33%,12.42,00:08:57,7,$988.49,58.33%,216.67%
Oakland,"Sep 1, 2017 - Sep 30, 2017",Mobile and Tablet Traffic,28,24,35,68.57%,2.14,00:00:43,0,$0.00,0.00%,0.00%
San Mateo,"Sep 1, 2017 - Sep 30, 2017",All Users,98,68,122,21.31%,7.91,00:04:09,16,"$3,216.72",13.11%,86.89%
San Mateo,"Sep 1, 2017 - Sep 30, 2017",Direct Traffic,15,13,20,35.00%,5.10,00:02:27,0,$0.00,0.00%,60.00%
San Mateo,"Sep 1, 2017 - Sep 30, 2017",Made a Purchase,18,6,28,10.71%,16.11,00:09:31,16,"$3,216.72",57.14%,232.14%
San Mateo,"Sep 1, 2017 - Sep 30, 2017",Mobile and Tablet Traffic,22,19,22,36.36%,4.45,00:01:56,0,$0.00,0.00%,13.64%
Redwood City,"Sep 1, 2017 - Sep 30, 2017",All Users,91,68,127,26.77%,6.58,00:03:45,13,"$1,812.65",10.24%,62.20%
Redwood City,"Sep 1, 2017 - Sep 30, 2017",Direct Traffic,20,18,21,57.14%,3.00,00:00:44,1,$149.00,4.76%,9.52%
Redwood City,"Sep 1, 2017 - Sep 30, 2017",Made a Purchase,15,8,21,4.76%,12.48,00:08:23,13,"$1,812.65",61.90%,257.14%
Redwood City,"Sep 1, 2017 - Sep 30, 2017",Mobile and Tablet Traffic,18,17,23,34.78%,5.00,00:01:18,0,$0.00,0.00%,8.70%
Columbus,"Sep 1, 2017 - Sep 30, 2017",All Users,87,80,99,54.55%,3.38,00:02:24,3,$625.20,3.03%,14.14%
Columbus,"Sep 1, 2017 - Sep 30, 2017",Direct Traffic,6,4,12,58.33%,2.50,00:02:24,0,$0.00,0.00%,0.00%
