# ----------------------------------------
# 1 Master View
# Location
# 20171101-20171130
# ----------------------------------------

City,Date Range,Segment,Users,New Users,Sessions,Bounce Rate,Pages / Session,Avg. Session Duration,Transactions,Revenue,Ecommerce Conversion Rate,Goal Conversion Rate
Mountain View,"Nov 1, 2017 - Nov 30, 2017",All Users,"3,516","2,342","5,508",21.53%,6.26,00:03:19,316,"$79,955.46",5.74%,42.50%
Mountain View,"Nov 1, 2017 - Nov 30, 2017",Direct Traffic,495,422,619,39.26%,4.37,00:02:08,15,"$4,148.59",2.42%,23.10%
Mountain View,"Nov 1, 2017 - Nov 30, 2017",Made a Purchase,442,199,"1,066",11.26%,9.29,00:06:20,316,"$79,955.46",29.64%,105.53%
Mountain View,"Nov 1, 2017 - Nov 30, 2017",Mobile and Tablet Traffic,258,205,298,39.93%,4.41,00:02:04,0,$0.00,0.00%,10.74%
New York,"Nov 1, 2017 - Nov 30, 2017",All Users,"2,314","1,912","3,269",29.86%,5.89,00:03:14,164,"$31,122.62",5.02%,38.91%
New York,"Nov 1, 2017 - Nov 30, 2017",Direct Traffic,437,388,527,42.13%,4.87,00:02:36,16,"$4,179.54",3.04%,29.98%
New York,"Nov 1, 2017 - Nov 30, 2017",Made a Purchase,182,116,406,10.34%,12.79,00:07:28,164,"$31,122.62",40.39%,150.49%
New York,"Nov 1, 2017 - Nov 30, 2017",Mobile and Tablet Traffic,540,487,654,54.13%,3.80,00:01:48,2,$39.46,0.31%,11.16%
Sunnyvale,"Nov 1, 2017 - Nov 30, 2017",All Users,"1,838","1,233","2,889",21.43%,6.64,00:03:38,187,"$40,201.82",6.47%,47.53%
Sunnyvale,"Nov 1, 2017 - Nov 30, 2017",Direct Traffic,301,258,377,35.01%,4.79,00:02:29,13,"$2,672.15",3.45%,31.83%
Sunnyvale,"Nov 1, 2017 - Nov 30, 2017",Made a Purchase,240,116,590,11.86%,9.90,00:07:02,187,"$40,201.82",31.69%,113.90%
Sunnyvale,"Nov 1, 2017 - Nov 30, 2017",Mobile and Tablet Traffic,140,117,173,39.88%,3.64,00:01:36,1,$149.00,0.58%,8.67%
San Francisco,"Nov 1, 2017 - Nov 30, 2017",All Users,"1,836","1,360","2,658",26.86%,6.10,00:03:24,207,"$53,411.42",7.79%,45.33%
San Francisco,"Nov 1, 2017 - Nov 30, 2017",Direct Traffic,381,321,458,47.82%,3.64,00:01:45,8,"$3,205.96",1.75%,18.78%
San Francisco,"Nov 1, 2017 - Nov 30, 2017",Made a Purchase,232,116,557,10.59%,10.51,00:07:10,207,"$53,411.42",37.16%,130.88%
San Francisco,"Nov 1, 2017 - Nov 30, 2017",Mobile and Tablet Traffic,578,488,687,42.94%,4.01,00:01:58,2,$47.93,0.29%,12.81%
San Jose,"Nov 1, 2017 - Nov 30, 2017",All Users,"1,197",867,"1,728",23.32%,7.07,00:04:06,131,"$35,081.92",7.58%,51.45%
San Jose,"Nov 1, 2017 - Nov 30, 2017",Direct Traffic,227,200,262,42.75%,3.92,00:02:11,6,"$1,175.35",2.29%,22.14%
San Jose,"Nov 1, 2017 - Nov 30, 2017",Made a Purchase,149,80,381,9.45%,10.70,00:07:44,131,"$35,081.92",34.38%,123.10%
San Jose,"Nov 1, 2017 - Nov 30, 2017",Mobile and Tablet Traffic,344,291,413,40.92%,4.49,00:02:18,2,$90.50,0.48%,13.80%
(not set),"Nov 1, 2017 - Nov 30, 2017",All Users,"1,078","1,030","1,134",70.90%,2.55,00:00:59,9,"$1,982.96",0.79%,9.08%
(not set),"Nov 1, 2017 - Nov 30, 2017",Direct Traffic,638,631,644,92.39%,1.51,00:00:14,1,$99.99,0.16%,2.80%
(not set),"Nov 1, 2017 - Nov 30, 2017",Made a Purchase,12,6,19,5.26%,13.95,00:09:04,9,"$1,982.96",47.37%,189.47%
(not set),"Nov 1, 2017 - Nov 30, 2017",Mobile and Tablet Traffic,464,440,484,77.69%,2.09,00:00:41,1,$41.86,0.21%,4.96%
Los Angeles,"Nov 1, 2017 - Nov 30, 2017",All Users,889,744,"1,171",34.76%,5.88,00:03:20,56,"$15,814.18",4.78%,36.12%
Los Angeles,"Nov 1, 2017 - Nov 30, 2017",Direct Traffic,148,126,181,44.20%,5.10,00:02:58,5,$208.67,2.76%,25.97%
Los Angeles,"Nov 1, 2017 - Nov 30, 2017",Made a Purchase,51,34,132,10.61%,13.14,00:09:05,56,"$15,814.18",42.42%,155.30%
Los Angeles,"Nov 1, 2017 - Nov 30, 2017",Mobile and Tablet Traffic,377,323,442,50.90%,4.39,00:02:28,3,$109.94,0.68%,14.25%
