# ----------------------------------------
# 1 Master View
# Location
# 20180101-20180131
# ----------------------------------------

City,Date Range,Segment,Users,New Users,Sessions,Bounce Rate,Pages / Session,Avg. Session Duration,Transactions,Revenue,Ecommerce Conversion Rate,Goal Conversion Rate
Mountain View,"Jan 1, 2018 - Jan 31, 2018",All Users,"2,857","1,920","4,272",22.10%,5.99,00:03:07,304,"$65,115.78",7.12%,41.97%
Mountain View,"Jan 1, 2018 - Jan 31, 2018",Direct Traffic,424,380,538,34.76%,4.77,00:02:37,21,"$3,539.39",3.90%,29.74%
Mountain View,"Jan 1, 2018 - Jan 31, 2018",Made a Purchase,383,180,772,11.40%,9.23,00:06:36,304,"$65,115.78",39.38%,116.06%
Mountain View,"Jan 1, 2018 - Jan 31, 2018",Mobile and Tablet Traffic,174,142,208,36.54%,3.81,00:02:09,0,$0.00,0.00%,11.54%
New York,"Jan 1, 2018 - Jan 31, 2018",All Users,"2,011","1,711","2,778",29.52%,6.15,00:03:20,200,"$41,449.04",7.20%,47.01%
New York,"Jan 1, 2018 - Jan 31, 2018",Direct Traffic,367,342,455,43.52%,4.84,00:03:00,16,"$3,740.92",3.52%,29.89%
New York,"Jan 1, 2018 - Jan 31, 2018",Made a Purchase,200,128,533,9.94%,11.11,00:07:17,200,"$41,449.04",37.52%,142.03%
New York,"Jan 1, 2018 - Jan 31, 2018",Mobile and Tablet Traffic,515,482,620,57.42%,3.28,00:01:27,2,$108.95,0.32%,10.65%
San Francisco,"Jan 1, 2018 - Jan 31, 2018",All Users,"1,388","1,046","1,971",28.56%,5.64,00:03:05,169,"$34,700.00",8.57%,43.99%
San Francisco,"Jan 1, 2018 - Jan 31, 2018",Direct Traffic,252,223,300,44.33%,3.87,00:02:11,11,"$1,679.65",3.67%,22.00%
San Francisco,"Jan 1, 2018 - Jan 31, 2018",Made a Purchase,198,96,431,11.60%,9.14,00:06:22,169,"$34,700.00",39.21%,123.67%
San Francisco,"Jan 1, 2018 - Jan 31, 2018",Mobile and Tablet Traffic,437,374,529,45.18%,3.58,00:01:52,3,$133.43,0.57%,10.02%
Sunnyvale,"Jan 1, 2018 - Jan 31, 2018",All Users,"1,331",837,"1,973",21.19%,6.46,00:03:36,174,"$31,268.64",8.82%,53.83%
Sunnyvale,"Jan 1, 2018 - Jan 31, 2018",Direct Traffic,208,165,251,33.86%,4.49,00:02:05,6,"$1,113.41",2.39%,31.47%
Sunnyvale,"Jan 1, 2018 - Jan 31, 2018",Made a Purchase,201,91,462,11.90%,9.78,00:07:36,174,"$31,268.64",37.66%,127.06%
Sunnyvale,"Jan 1, 2018 - Jan 31, 2018",Mobile and Tablet Traffic,107,81,119,44.54%,3.77,00:01:58,2,$43.47,1.68%,16.81%
